brand,model,screenSize,screenTech,energyConsumption,star
aiwa,AWC240WZ,24,LED,105,4
aiwa,AWC240G,24,LED,82,5
aiwa,AW240DVD,24,LCD,91,4.5
aiwa,AWC320WZ,31,LED,145,4.5
aiwa,AWA320S,31,LED,104,6
aiwa,AWS320DVD,32,LED,125,5
aiwa,AWC320G,32,LED,116,5.5
aiwa,AWA400S,39,LED,148,6
aiwa,AWS400G,39,LCD,189,5
aiwa,AWS400W,40,LED,198,4.5
aiwa,AWS420W,42,LED,210,4.5
aiwa,AWA500US,49,LED,265,5
aiwa,AWS500W,50,LED,211,6
aiwa,AWS500G,50,OLED,276,5
aiwa,AWA550US,55,LCD,320,5
aiwa,AWS650G,64,LCD,404,5.5
aiwa,AWA650US,64,LED,499,4.5
aiwa,AWS650W,65,LED,468,4.5
aiwa,AWS700W,70,LED,576,4.5
akai,AK2421FHD,24,LED,68,6
akai,AK2421HD,24,LED,68,6
akai,AK2421S5D,24,LED,68,6
akai,AK2422S7WOS,24,LED,60,6
akai,AK24**S7WOS,24,LED,60,6
akai,AK2423S7WOS,24,LED,60,6
akai,AK3221NF,31,LCD,104,6
akai,AK3220HD,32,LED,101,6
akai,AK3223S7WOS,32,LCD,90,6
akai,AK3221S6WOS,32,LED,98,6
akai,AK4022S7WOS,39,LCD,150,6
akai,AK4021NF,39,LCD,149,6
akai,AK4021S6WOS,39,LCD,131,6
akai,AK4324S7WOS,43,LCD,172,6
akai,AK5022S7TZN,49,LCD,225,6
akai,AK5020NF,50,LCD,204,6
akai,AK5021S6WOS,50,LED,202,6
akai,AK5522S7TZN,55,LCD,272,6
akai,AK5520NF,55,LED,251,6
akai,AK5521NF,55,LED,267,6
akai,AK55324S7WOS,55,LED,256,6
akai,AK5821S6WOS,58,LED,301,6
akai,AK6522S7TZN,65,LCD,370,6
akai,AK6520NF,65,LCD,368,6
akai,AK6521NF,65,LED,362,6
akai,AK6521S6WOS,65,LED,367,6
akai,AK7021S6WOS,70,LCD,372,6
akai,AK7522S7TZN,74,LCD,480,6
akai,AK7521S6WOS,75,LED,404,6
akai,AK7523S7WOS,75,LED,474,6
akai,AK8521S6WOS,85,LCD,600,6
altius,AT24HDW-BCF,24,LCD,66,6
altius,AT32HDW2-BCF,32,LED,102,6
altius,AT32HDW-BCF,32,LCD,90,6
aoa,LTD19FT,19,LED,58,5
aoa,LTW32HD,32,LCD,119,5
aoa,LTW40FHD,40,LCD,176,5
aoa,LTW50UHD,50,LED,270,5
avel innovations,AVS240WS,24,LED,90,4.5
avel innovations,AVS240KS,24,LED,91,4.5
avel innovations,AVS325KS,32,LED,145,4.5
bauhn,ATV24HDW-0224,24,LCD,66,6
bauhn,ATV24HDG-0223,24,LED,61,6
bauhn,ATV24HDW-0225,24,LCD,68,6
bauhn,ATV24FHDC-0620,24,LED,67,6
bauhn,ATV24FHDC-0221,24,LED,67,6
bauhn,ATV32HDG-0423,31,LED,104,6
bauhn,ATV32HDG-1022,31,LED,104,6
bauhn,ATV32HDG-0722,31,LED,104,6
bauhn,ATV32HDS-0420,31,LCD,104,6
bauhn,ATV32HDC-0222,32,LCD,101,6
bauhn,ATV32HDW-0424,32,LED,101,6
bauhn,ATV32HDW-0824,32,LED,101,6
bauhn,ATV32HDW-****,32,LED,101,6
bauhn,ATV32HDW-0624,32,LED,101,6
bauhn,ATV32HD-1121,32,LED,99,6
bauhn,ATV32HDG-1021,32,LED,105,6
bauhn,ATV40FHDG-**** (*=0-9),39,LCD,151,6
bauhn,ATV40FHDG-0322,39,LCD,151,6
bauhn,ATV40FHDG-0721,39,LCD,151,6
bauhn,ATV40FHDS-1220,39,LED,149,6
bauhn,ATV40FHDS-0720,39,LED,149,6
bauhn,ATV40FHDG-1122,39,LED,148,6
bauhn,ATV40FHDG-0822,39,LED,148,6
bauhn,ATV40FHDG-1123,39,LED,148,6
bauhn,ATV40UHDW-0124,40,LED,189,5
bauhn,ATV40UHDW-0324,40,LED,189,5
bauhn,ATV40UHDW-****,40,LED,189,5
bauhn,ATV42FHDW-1221,41,LCD,157,6
bauhn,ATV43FHDW-1124,43,LCD,172,6
bauhn,ATV43FHDW-0125,43,LCD,172,6
bauhn,ATV43FHDW-****,43,LCD,172,6
bauhn,ATV43UHDT-0123,43,LED,170,6
bauhn,ATV43UHDT-0723,43,LED,170,6
bauhn,ATV50UHDW-0422,49,LCD,220,6
bauhn,ATV50UHDT-0323,49,LCD,225,6
bauhn,ATV50UHDT-0823,49,LCD,225,6
bauhn,ATV50UHDS-0820,49,LED,220,6
bauhn,ATV50UHD-1120,50,LCD,220,6
bauhn,ATV50UHDG-0521,50,LED,225,6
bauhn,ATV50UHDW-0424,50,LED,210,6
bauhn,ATV55UHDQ-0722,55,LCD,305,5.5
bauhn,ATV55UHDW-0124,55,LED,272,6
bauhn,ATV55UHDT-0723,55,LCD,272,6
bauhn,ATV55UHDS-0920,55,LED,267,6
bauhn,ATV55UHDW-1024,55,LED,256,6
bauhn,ATV55UHDW-0125,55,LED,256,6
bauhn,ATV55UHDW-****,55,LED,256,6
bauhn,ATV58UHDG-0121,57,LCD,298,6
bauhn,ATV58UHDG-0320,57,LCD,298,6
bauhn,ATV58UHDW-0322,57,LCD,275,6
bauhn,ATV58UHDW-0421,58,LED,301,6
bauhn,ATV58UHDG-0920,58,LCD,298,6
bauhn,ATV60UHDW-1023,60,LCD,296,6
bauhn,ATV60UHDW-1122,60,LCD,296,6
bauhn,ATV60UHDW-0824,60,LCD,299,6
bauhn,ATV60UHDW-1121,60,LCD,320,6
bauhn,Tizen TV,65,LED,360,6
bauhn,ATV65UHDT-0123,65,LED,360,6
bauhn,ATV65UHDT-0922,65,LED,360,6
bauhn,ATV65UHD-0420,65,LCD,371,6
bauhn,ATV65UHDS-1020,65,LCD,345,6
bauhn,ATV65UHDW-1021,65,LED,367,6
bauhn,ATV65UHDS-1221,65,LCD,360,6
bauhn,ATV65UHDG-0620,65,LCD,371,6
bauhn,ATV70UHDT-0623,70,LCD,420,6
bauhn,ATV70UHDW-1124,70,LCD,397,6
bauhn,ATV70UHDW-0921,70,LCD,405,6
bauhn,ATV70UHDT-1022,70,LCD,420,6
bauhn,ATV70UHDW-0624,70,LED,400,6
bauhn,ATV70UHDW-0325,70,LED,400,6
bauhn,ATV70UHDW-0321,70,LCD,405,6
